EmployeeID ,Name,Department,grossincome,Deductions,Age,regime
63,Employee_63,Operations,400015,221942,30,Old
64,Employee_64,Finance,1372914,381823,40,Old
65,Employee_65,Finance,1276419,496969,33,Old
66,Employee_66,Marketing,1912982,447747,48,New
67,Employee_67,Finance,1206840,85570,58,Old
68,Employee_68,Finance,1181489,101621,46,New
69,Employee_69,Marketing,565208,276586,59,Old
70,Employee_70,Marketing,427997,323581,38,Old
71,Employee_71,HR,1374993,261411,54,New
72,Employee_72,Operations,1365161,458558,35,Old
73,Employee_73,Operations,754634,345323,49,Old
74,Employee_74,Finance,419356,433285,39,Old
75,Employee_75,Operations,1633872,209318,54,Old
76,Employee_76,Finance,1098201,174632,36,New
77,Employee_77,HR,1875255,456286,32,Old
78,Employee_78,Marketing,684600,440643,57,Old
79,Employee_79,Marketing,1695318,392752,36,Old
80,Employee_80,Marketing,1020015,458712,51,New
81,Employee_81,Operations,1392211,69557,36,Old
82,Employee_82,HR,377132,77752,44,Old
83,Employee_83,Operations,460609,213320,36,New
84,Employee_84,Operations,846231,206513,50,Old
85,Employee_85,HR,969822,53534,32,New
86,Employee_86,HR,889050,371447,39,New
87,Employee_87,HR,1621953,164002,52,New
88,Employee_88,HR,425784,494944,30,New
89,Employee_89,Marketing,214925,390439,43,New
90,Employee_90,IT,1990723,225114,32,Old
91,Employee_91,IT,1331760,382431,38,Old
92,Employee_92,HR,1849379,274432,54,New
93,Employee_93,IT,399330,114570,32,Old
94,Employee_94,IT,860715,362691,29,Old
95,Employee_95,HR,1556789,86122,25,New
96,Employee_96,IT,949695,197590,57,New
97,Employee_97,Operations,1349430,37400,40,Old
98,Employee_98,Finance,1040903,389753,45,Old
99,Employee_99,Finance,494849,137639,39,New
100,Employee_100,HR,374981,52878,54,Old
101,Employee_101,Marketing,419678,53850,57,New
102,Employee_102,HR,328501,399310,31,New
103,Employee_103,Marketing,1364937,147207,35,New
104,Employee_104,Finance,1433387,346188,28,Old
105,Employee_105,HR,407892,50113,33,New
106,Employee_106,Operations,811561,63791,43,New
107,Employee_107,IT,1533961,276828,48,New
108,Employee_108,Marketing,1669206,359927,58,New
109,Employee_109,IT,250818,76727,32,New
110,Employee_110,IT,351967,350522,57,Old
111,Employee_111,HR,554451,63552,34,Old
112,Employee_112,IT,1442057,144118,53,Old
113,Employee_113,Operations,1697116,9934,29,New
114,Employee_114,IT,1577640,457772,28,Old
115,Employee_115,HR,646771,182878,38,New
116,Employee_116,Operations,318642,268498,43,Old
117,Employee_117,Finance,1576173,109777,55,Old
118,Employee_118,IT,1009121,100352,41,New
119,Employee_119,HR,395428,259164,29,Old
120,Employee_120,Finance,1996947,58046,43,Old
121,Employee_121,Finance,601468,378242,48,Old
122,Employee_122,Marketing,1017276,70064,55,New
123,Employee_123,Operations,295687,324328,42,Old
124,Employee_124,IT,1747334,139035,36,New
125,Employee_125,HR,1909962,32424,26,New
126,Employee_126,Marketing,490667,216111,59,New
127,Employee_127,Operations,714513,139114,38,Old
128,Employee_128,Marketing,1390130,493993,29,Old
129,Employee_129,Operations,312105,274283,40,New
130,Employee_130,Operations,1886748,278370,26,New
131,Employee_131,IT,1879832,372378,44,Old
132,Employee_132,Operations,1994580,478514,40,Old
133,Employee_133,Marketing,1642285,350796,35,Old
134,Employee_134,Operations,1697986,174180,31,Old
135,Employee_135,IT,1854865,75647,52,New
136,Employee_136,IT,239767,73617,34,Old
137,Employee_137,Marketing,753838,165887,43,New
138,Employee_138,Finance,1772837,406018,58,New
139,Employee_139,Finance,1393481,178302,31,Old
140,Employee_140,Operations,1382618,199444,52,Old
141,Employee_141,HR,1871179,249956,56,Old
142,Employee_142,Operations,295494,190092,34,Old
143,Employee_143,Marketing,1240016,481665,51,Old
144,Employee_144,Marketing,1900288,153537,55,Old
145,Employee_145,Marketing,1100287,406210,57,Old
146,Employee_146,Marketing,1331257,8531,56,New
147,Employee_147,Marketing,904537,145415,25,New
148,Employee_148,IT,1116978,457282,25,Old
149,Employee_149,Finance,1500987,235092,27,New
150,Employee_150,Marketing,916861,404445,49,New
151,Employee_151,HR,753188,361455,51,Old
152,Employee_152,HR,214126,228374,48,New
153,Employee_153,HR,1884062,87124,26,Old
154,Employee_154,HR,1974626,486920,56,Old
155,Employee_155,IT,1991680,180861,36,New
156,Employee_156,HR,541447,49069,40,Old
157,Employee_157,Marketing,416651,238470,51,Old
158,Employee_158,Operations,529205,223474,59,Old
159,Employee_159,HR,1740856,407740,53,New
160,Employee_160,IT,216978,126907,50,New
161,Employee_161,IT,1829208,261000,27,Old
162,Employee_162,HR,1557368,93074,47,Old
163,Employee_163,Operations,1511775,113345,48,New
164,Employee_164,HR,275582,222834,56,New
165,Employee_165,IT,1481035,461319,49,Old
166,Employee_166,Finance,805502,406319,26,New
167,Employee_167,Marketing,638092,456797,37,Old
168,Employee_168,IT,1760155,482154,39,New
169,Employee_169,HR,947520,59203,34,New
170,Employee_170,Marketing,1811589,151162,46,New
171,Employee_171,HR,598471,20915,31,New
172,Employee_172,HR,668163,308621,50,Old
173,Employee_173,Finance,1039812,193059,31,Old
174,Employee_174,Marketing,970008,497958,27,New
175,Employee_175,Marketing,777621,451454,37,Old
176,Employee_176,Finance,504603,485263,46,Old
177,Employee_177,IT,1102950,383884,25,New
178,Employee_178,HR,498307,127217,58,New
179,Employee_179,Operations,1413619,151101,55,Old
180,Employee_180,HR,1738563,232439,40,New
181,Employee_181,HR,1969085,94067,54,Old
182,Employee_182,IT,1244654,58520,25,New
183,Employee_183,HR,1595450,75053,55,Old
184,Employee_184,Finance,481620,56464,33,New
185,Employee_185,Finance,1579300,158033,52,New
186,Employee_186,Marketing,1500407,425051,37,Old
187,Employee_187,Operations,1092008,425941,23,New
188,Employee_188,HR,548737,292501,23,Old
189,Employee_189,HR,924410,137316,57,Old
190,Employee_190,IT,1455174,72952,27,New
191,Employee_191,Finance,1746288,53061,44,New
192,Employee_192,Operations,1887696,273634,58,New
193,Employee_193,Marketing,1649299,82219,37,New
194,Employee_194,Finance,1712185,393449,40,Old
195,Employee_195,Marketing,867478,272983,45,Old
196,Employee_196,IT,381601,29992,48,New
197,Employee_197,IT,268682,118154,28,Old
198,Employee_198,HR,1471585,259166,51,New
199,Employee_199,Operations,647392,181010,35,Old
200,Employee_200,Marketing,1495129,260087,36,New
201,Employee_201,Finance,1602433,323393,33,New
202,Employee_202,IT,1614780,442951,50,Old
203,Employee_203,HR,859774,108313,44,New
204,Employee_204,HR,1331606,317878,34,Old
205,Employee_205,Marketing,1368936,183152,30,New
206,Employee_206,IT,859297,210532,45,Old
207,Employee_207,Operations,1204366,130626,51,Old
208,Employee_208,IT,894025,479673,22,Old
209,Employee_209,Marketing,667726,291404,31,Old
210,Employee_210,Marketing,1754473,195679,59,New
211,Employee_211,IT,1135004,66852,36,New
212,Employee_212,Marketing,1362936,33380,30,New
213,Employee_213,IT,1512470,482563,34,Old
214,Employee_214,Finance,789306,76257,44,New
215,Employee_215,IT,1242960,177263,54,New
216,Employee_216,IT,1645819,272074,30,New
217,Employee_217,Marketing,336817,402569,24,New
218,Employee_218,Marketing,392803,406048,51,Old
219,Employee_219,HR,1859848,185626,30,New
220,Employee_220,HR,1014883,224559,46,New
221,Employee_221,Finance,555887,321161,45,Old
222,Employee_222,HR,1057906,455514,53,New
223,Employee_223,IT,1965472,250824,28,Old
224,Employee_224,Marketing,1260726,449605,57,New
225,Employee_225,HR,999838,209378,46,Old
226,Employee_226,HR,1399429,161597,41,Old
227,Employee_227,Finance,1437065,480308,38,New
228,Employee_228,Finance,1102479,85630,57,New
229,Employee_229,IT,1791189,471687,47,New
230,Employee_230,Marketing,399756,204283,40,New
231,Employee_231,Finance,1756339,36280,58,New
232,Employee_232,HR,1977405,129130,24,New
233,Employee_233,Marketing,217669,147312,49,Old
234,Employee_234,Marketing,1113817,463308,43,Old
235,Employee_235,HR,534154,467757,40,Old
236,Employee_236,Finance,1754775,461067,37,Old
237,Employee_237,HR,407836,273688,27,New
238,Employee_238,Marketing,1740866,194053,58,Old
239,Employee_239,Operations,332915,415548,52,Old
240,Employee_240,Operations,396681,162908,55,Old
241,Employee_241,IT,775100,281532,52,New
242,Employee_242,HR,1002491,249335,32,New
243,Employee_243,HR,1596989,6694,57,New
244,Employee_244,IT,977150,132727,27,Old
245,Employee_245,IT,1420416,484893,48,New
246,Employee_246,IT,225395,355346,28,Old
247,Employee_247,Marketing,1530922,118057,53,Old
248,Employee_248,HR,1130777,316438,29,Old
249,Employee_249,Marketing,1478283,43769,54,New
250,Employee_250,IT,971469,437636,36,New
251,Employee_251,HR,1976984,380433,48,New
252,Employee_252,Marketing,424839,107885,51,Old
253,Employee_253,Marketing,1468458,42855,43,New
254,Employee_254,IT,1876099,137532,50,New
255,Employee_255,HR,1818374,52646,51,New
256,Employee_256,IT,1860809,439468,23,Old
257,Employee_257,HR,1491378,408051,36,Old
258,Employee_258,Operations,974456,118947,48,Old
259,Employee_259,Finance,1057081,15910,28,Old
260,Employee_260,Finance,1093155,87757,48,New
261,Employee_261,Finance,727169,489365,42,New
262,Employee_262,IT,1032345,232961,34,Old
263,Employee_263,Operations,1884724,240222,38,New
264,Employee_264,HR,1071217,275607,32,Old
265,Employee_265,Marketing,658253,149408,31,New
266,Employee_266,HR,366415,31534,54,New
267,Employee_267,Marketing,1704181,138441,35,New
268,Employee_268,HR,671466,423597,58,Old
269,Employee_269,Operations,1388304,379440,29,New
270,Employee_270,Marketing,1516461,352238,54,New
271,Employee_271,IT,347733,355049,28,New
272,Employee_272,HR,1015122,497402,55,New
273,Employee_273,HR,494977,494706,28,Old
274,Employee_274,Marketing,826854,292551,28,Old
275,Employee_275,IT,1319816,329696,57,Old
276,Employee_276,IT,831186,172011,28,New
277,Employee_277,Operations,1588431,97303,41,New
278,Employee_278,IT,1174645,465792,39,New
279,Employee_279,IT,409304,264153,35,Old
280,Employee_280,IT,555734,486868,35,Old
281,Employee_281,Finance,1329098,424386,42,New
282,Employee_282,Operations,573798,76908,48,Old
283,Employee_283,HR,869800,129506,47,Old
284,Employee_284,Marketing,319107,289513,48,New
285,Employee_285,HR,601176,471314,45,Old
286,Employee_286,Operations,1271038,442760,26,New
287,Employee_287,Marketing,1243423,273044,59,Old
288,Employee_288,Operations,620474,45733,49,Old
289,Employee_289,IT,292889,354380,53,Old
290,Employee_290,Marketing,288952,242841,45,Old
291,Employee_291,IT,917884,136661,27,New
292,Employee_292,HR,615331,327188,31,New
293,Employee_293,HR,1104498,463527,24,Old
294,Employee_294,Marketing,901793,456142,28,New
295,Employee_295,Marketing,421576,206671,50,Old
296,Employee_296,Operations,1205771,352697,55,New
297,Employee_297,Operations,943681,219982,28,Old
298,Employee_298,IT,698149,355579,38,New
299,Employee_299,Marketing,1065796,54008,34,Old
300,Employee_300,HR,1056509,71794,42,Old
301,Employee_301,Operations,502788,84134,52,New
302,Employee_302,Operations,524787,401082,30,Old
303,Employee_303,HR,1524031,320034,34,Old
304,Employee_304,Operations,1240725,382403,38,Old
305,Employee_305,IT,454084,439720,29,Old
306,Employee_306,Marketing,329466,493884,30,New
307,Employee_307,HR,1279107,451590,30,New
308,Employee_308,Marketing,214588,296548,51,Old
309,Employee_309,Operations,343452,332367,28,Old
310,Employee_310,Operations,1946581,267781,38,New
311,Employee_311,HR,1659610,226224,59,New
312,Employee_312,IT,1410505,370330,26,Old
313,Employee_313,Finance,1794575,282972,38,Old
314,Employee_314,HR,860457,189616,22,New
315,Employee_315,Finance,1932329,489948,37,Old
316,Employee_316,Finance,1594994,106976,38,New
317,Employee_317,IT,519753,50097,51,New
318,Employee_318,Finance,1933253,118271,52,New
319,Employee_319,Finance,1746557,299166,56,Old
320,Employee_320,IT,1307056,37202,29,New
321,Employee_321,Finance,993476,33704,51,New
322,Employee_322,Finance,1188537,96411,42,Old
323,Employee_323,Finance,974597,134688,36,New
324,Employee_324,HR,255486,28641,55,New
325,Employee_325,HR,1303738,304623,48,New
326,Employee_326,HR,934647,214843,23,New
327,Employee_327,IT,229882,289171,31,New
328,Employee_328,Operations,778366,496679,26,New
329,Employee_329,Finance,1045166,310056,48,Old
330,Employee_330,Finance,1487256,375371,25,Old
331,Employee_331,IT,1881594,490774,34,Old
332,Employee_332,Finance,374898,207546,38,New
333,Employee_333,HR,1598705,133773,42,New
334,Employee_334,Operations,506172,114658,44,New
335,Employee_335,Marketing,712871,47692,54,Old
336,Employee_336,Finance,823226,103884,36,Old
337,Employee_337,HR,842607,37209,35,New
338,Employee_338,Marketing,756831,193635,30,Old
339,Employee_339,Operations,848567,323882,58,Old
340,Employee_340,Marketing,229362,304386,51,New
341,Employee_341,HR,620531,408157,50,Old
342,Employee_342,Marketing,358818,405289,44,Old
343,Employee_343,IT,603273,112966,55,Old
344,Employee_344,Marketing,1491297,173899,28,Old
345,Employee_345,Finance,1029347,182297,30,New
346,Employee_346,Finance,1138565,173168,25,New
347,Employee_347,IT,889517,186618,23,Old
348,Employee_348,HR,573519,333601,48,Old
349,Employee_349,Finance,1390970,396401,54,Old
350,Employee_350,Operations,1842676,335453,53,Old
351,Employee_351,Finance,671058,468214,58,New
352,Employee_352,Finance,1020449,91496,48,New
353,Employee_353,HR,1043224,166340,49,Old
354,Employee_354,Marketing,1145246,221426,24,Old
355,Employee_355,Finance,1476784,241109,57,Old
356,Employee_356,IT,1237904,115078,29,Old
357,Employee_357,Marketing,1639918,440294,58,New
358,Employee_358,Operations,1901478,269009,59,Old
359,Employee_359,HR,296950,101242,43,Old
360,Employee_360,Operations,374942,296031,35,New
361,Employee_361,Marketing,1313405,448092,36,Old
362,Employee_362,Marketing,969890,363191,25,New
363,Employee_363,Marketing,1783452,169551,39,New
364,Employee_364,Operations,1091712,133863,22,Old
365,Employee_365,Marketing,696195,45478,33,New
366,Employee_366,Operations,1551441,424617,38,Old
367,Employee_367,Marketing,892505,164574,40,Old
368,Employee_368,IT,472743,255840,57,New
369,Employee_369,Marketing,534738,378894,28,New
370,Employee_370,Operations,675958,280538,30,New
371,Employee_371,Finance,932790,234766,29,Old
372,Employee_372,Marketing,1906875,145334,46,Old
373,Employee_373,Finance,452856,9487,28,Old
374,Employee_374,IT,484293,163413,29,Old
375,Employee_375,HR,921927,263432,45,Old
376,Employee_376,IT,1389856,113924,38,New
377,Employee_377,Marketing,397170,266196,33,New
378,Employee_378,Finance,1619754,411786,52,New
379,Employee_379,Finance,1429140,62268,33,Old
380,Employee_380,Operations,1269527,34605,23,Old
381,Employee_381,Finance,379992,76602,33,Old
382,Employee_382,Operations,771054,162795,48,Old
383,Employee_383,HR,1407999,205180,28,Old
384,Employee_384,Marketing,677432,345350,34,New
385,Employee_385,Operations,1691178,458314,57,Old
386,Employee_386,HR,811410,98375,22,New
387,Employee_387,Finance,995740,446923,56,Old
388,Employee_388,Finance,1045684,185100,51,New
389,Employee_389,HR,668361,361081,52,Old
390,Employee_390,Finance,1212535,61921,38,Old
391,Employee_391,HR,1331787,327904,29,New
392,Employee_392,Operations,1669856,146321,24,Old
393,Employee_393,Operations,647095,72847,31,Old
394,Employee_394,HR,1375110,102547,55,Old
395,Employee_395,Operations,733008,310983,43,New
396,Employee_396,Operations,588348,241149,25,New
397,Employee_397,Operations,1684732,44673,53,Old
398,Employee_398,IT,804281,8642,50,New
399,Employee_399,Marketing,1185979,404554,32,New
400,Employee_400,Finance,509257,318905,34,New
401,Employee_401,IT,1035358,14622,25,New
402,Employee_402,Operations,1679995,53423,23,New
403,Employee_403,HR,1992837,47873,55,Old
404,Employee_404,Operations,1798769,240616,43,Old
405,Employee_405,Marketing,404580,52565,26,Old
406,Employee_406,Operations,774673,143878,30,New
407,Employee_407,HR,1279229,267901,41,New
408,Employee_408,Marketing,1340441,490462,42,New
409,Employee_409,Operations,1726512,419686,38,Old
410,Employee_410,Marketing,850101,11220,33,Old
411,Employee_411,Finance,1394447,375552,49,Old
412,Employee_412,Finance,1964039,96851,39,Old
413,Employee_413,Operations,448535,190826,24,Old
414,Employee_414,Marketing,1787916,360473,26,Old
415,Employee_415,HR,337116,132636,35,Old
416,Employee_416,Operations,350943,478068,47,Old
417,Employee_417,Finance,420375,420721,40,New
418,Employee_418,Finance,705935,295432,38,New
419,Employee_419,Operations,1794245,79492,25,New
420,Employee_420,Marketing,1921210,286253,56,Old
421,Employee_421,Finance,967522,254128,45,Old
422,Employee_422,Marketing,1205344,401713,34,Old
423,Employee_423,Finance,545252,62326,54,New
424,Employee_424,Finance,1483596,14864,36,Old
425,Employee_425,IT,249892,495262,36,New
426,Employee_426,Finance,381593,229589,52,New
427,Employee_427,HR,1077933,354706,49,Old
428,Employee_428,Operations,939280,79310,31,New
429,Employee_429,Operations,545535,386598,28,Old
430,Employee_430,Marketing,480064,248415,54,New
431,Employee_431,Finance,1504792,288161,28,Old
432,Employee_432,HR,1220961,400037,26,Old
433,Employee_433,Marketing,1407935,55337,47,Old
434,Employee_434,IT,983059,443701,37,New
435,Employee_435,Marketing,325702,88557,29,Old
436,Employee_436,Marketing,273527,192460,43,Old
437,Employee_437,Finance,1395087,15372,55,Old
438,Employee_438,IT,1115108,105050,49,Old
439,Employee_439,Marketing,949980,361082,57,Old
440,Employee_440,HR,1028667,338477,28,New
441,Employee_441,HR,883019,283427,49,New
442,Employee_442,Operations,487120,45857,23,New
443,Employee_443,IT,1483887,318916,30,Old
444,Employee_444,IT,1069075,195742,27,Old
445,Employee_445,Operations,923225,209205,22,Old
446,Employee_446,Marketing,1618351,100856,24,New
447,Employee_447,IT,923666,429477,31,New
448,Employee_448,HR,1829561,193226,58,Old
449,Employee_449,HR,794670,273251,44,New
450,Employee_450,Finance,1003083,227368,54,New
451,Employee_451,IT,380116,302705,30,Old
452,Employee_452,Marketing,214633,212746,34,New
453,Employee_453,Operations,279164,171340,49,Old
454,Employee_454,Operations,987001,429824,28,New
455,Employee_455,Marketing,653116,18138,47,New
456,Employee_456,Finance,1053941,435909,37,New
457,Employee_457,Operations,323425,261697,47,Old
458,Employee_458,IT,974508,219072,53,New
459,Employee_459,Finance,1638242,129143,57,Old
460,Employee_460,IT,495182,157320,22,New
461,Employee_461,HR,1428736,238829,42,Old
462,Employee_462,Finance,1452825,285776,34,Old
463,Employee_463,Operations,405538,52547,47,Old
464,Employee_464,Finance,665432,279244,30,New
465,Employee_465,Finance,922153,315074,58,Old
466,Employee_466,Finance,1715578,465077,44,New
467,Employee_467,Finance,1548858,212977,22,Old
468,Employee_468,IT,1180814,320169,23,Old
469,Employee_469,HR,401466,474092,49,Old
470,Employee_470,Marketing,1224389,83944,57,Old
471,Employee_471,Finance,672243,449056,52,New
472,Employee_472,Operations,1732622,417585,26,New
473,Employee_473,Finance,1435799,416676,58,Old
474,Employee_474,Operations,1097172,96641,46,New
475,Employee_475,IT,1884038,101920,29,New
476,Employee_476,Operations,511416,399677,55,Old
477,Employee_477,Marketing,337980,47362,53,New
478,Employee_478,HR,604060,496592,32,New
479,Employee_479,Operations,1037887,295754,46,Old
480,Employee_480,Operations,1220669,371478,24,New
481,Employee_481,HR,1841311,157067,53,Old
482,Employee_482,Marketing,929887,482932,56,New
483,Employee_483,Finance,1587828,274861,53,Old
484,Employee_484,Operations,636282,214939,55,New
485,Employee_485,HR,426301,215544,58,New
486,Employee_486,IT,1157508,69022,26,New
487,Employee_487,HR,1024765,189740,49,New
488,Employee_488,IT,1107651,56645,49,New
489,Employee_489,Marketing,1593749,296694,29,Old
490,Employee_490,Finance,1550417,484367,48,New
491,Employee_491,HR,1111952,401792,37,Old
492,Employee_492,Operations,611249,45868,39,Old
493,Employee_493,Marketing,1190391,103039,46,New
494,Employee_494,HR,255063,182452,22,Old
495,Employee_495,Operations,743628,403944,29,New
496,Employee_496,HR,787069,299944,42,New
497,Employee_497,IT,1259214,15886,55,New
498,Employee_498,HR,417986,477830,45,New
499,Employee_499,HR,1555044,205981,58,Old
500,Employee_500,HR,1599076,183308,47,New
501,Employee_501,Marketing,421668,50805,35,New
502,Employee_502,HR,494786,299676,50,New
503,Employee_503,Operations,715518,117765,51,Old
504,Employee_504,IT,749666,498912,24,Old
505,Employee_505,IT,1584406,33688,28,Old
506,Employee_506,HR,505019,409279,57,Old
507,Employee_507,Marketing,1366747,290233,32,New
508,Employee_508,Marketing,1610781,454158,53,Old
509,Employee_509,Operations,1987665,450045,33,Old
510,Employee_510,HR,788665,448769,36,Old
511,Employee_511,IT,984627,38585,59,Old
512,Employee_512,Marketing,778979,469955,45,New
513,Employee_513,HR,1238240,195076,22,New
514,Employee_514,Marketing,1706095,255322,39,Old
515,Employee_515,Marketing,1702631,255483,28,Old
516,Employee_516,IT,511207,7438,23,New
517,Employee_517,Finance,816070,360239,52,New
518,Employee_518,Operations,278343,421428,54,New
519,Employee_519,Operations,545215,186434,51,New
520,Employee_520,IT,1122996,470393,52,Old
521,Employee_521,Marketing,845687,153055,55,Old
522,Employee_522,HR,755645,281170,28,New
523,Employee_523,Marketing,1713630,387312,46,Old
524,Employee_524,IT,641913,318142,37,Old
525,Employee_525,Operations,794571,453960,43,Old
526,Employee_526,Marketing,259567,324157,57,New
527,Employee_527,Operations,509150,56039,48,New
528,Employee_528,HR,437778,185903,38,New
529,Employee_529,Operations,1390334,483388,25,New
530,Employee_530,Operations,1834470,170675,56,Old
531,Employee_531,Finance,1529611,475974,43,New
532,Employee_532,Finance,1693907,465929,56,New
533,Employee_533,Finance,826020,111446,36,Old
534,Employee_534,Operations,916079,365596,42,New
535,Employee_535,IT,1212968,411321,34,Old
536,Employee_536,Operations,1190534,236120,32,New
537,Employee_537,IT,1154227,334326,48,Old
538,Employee_538,IT,1016309,57147,52,Old
539,Employee_539,Finance,449465,257403,53,Old
540,Employee_540,Marketing,424589,80400,51,Old
541,Employee_541,HR,738314,51434,39,New
542,Employee_542,Finance,1531142,31515,37,Old
543,Employee_543,Finance,495625,225370,56,Old
544,Employee_544,Marketing,833672,63001,30,New
545,Employee_545,HR,1501347,194469,58,Old
546,Employee_546,Operations,258031,197487,31,Old
547,Employee_547,Operations,554398,415176,33,New
548,Employee_548,Finance,792520,376735,29,New
549,Employee_549,HR,1915948,229215,24,New
550,Employee_550,Finance,542368,480054,40,Old
551,Employee_551,IT,616673,312922,32,Old
552,Employee_552,Finance,663788,167013,29,New
553,Employee_553,Finance,960791,495073,47,New
554,Employee_554,Operations,1219526,100849,44,New
555,Employee_555,Operations,287695,370227,31,Old
556,Employee_556,Operations,1378642,439171,39,Old
557,Employee_557,IT,1387558,214637,33,New
558,Employee_558,Operations,1513413,368420,47,Old
559,Employee_559,HR,1888177,324052,32,Old
560,Employee_560,Marketing,753098,462283,31,Old
561,Employee_561,HR,744380,254708,24,New
562,Employee_562,HR,1730571,453912,28,New
563,Employee_563,Operations,1830969,416645,25,Old
564,Employee_564,Marketing,1934441,361192,29,New
565,Employee_565,Marketing,1452876,212748,59,Old
566,Employee_566,Marketing,490699,252387,34,Old
567,Employee_567,IT,796222,150919,33,New
568,Employee_568,Operations,1845652,183263,56,New
569,Employee_569,Marketing,1063689,301400,59,New
570,Employee_570,IT,1653617,394169,57,Old
571,Employee_571,Finance,1732579,426990,23,New
572,Employee_572,Finance,695707,132343,36,Old
573,Employee_573,IT,355223,14127,55,Old
574,Employee_574,IT,1900932,123251,47,Old
575,Employee_575,Operations,1772900,164277,26,Old
576,Employee_576,Operations,1604668,244282,46,Old
577,Employee_577,Finance,763339,498322,55,New
578,Employee_578,Marketing,691513,348307,25,Old
579,Employee_579,Finance,280738,194836,55,Old
580,Employee_580,Marketing,535740,385423,48,New
581,Employee_581,Marketing,1832935,106824,50,Old
582,Employee_582,Operations,330613,43664,26,New
583,Employee_583,HR,273601,61795,39,Old
584,Employee_584,HR,1278449,126729,25,New
585,Employee_585,IT,1940584,168405,22,New
586,Employee_586,Operations,1320044,249620,41,New
587,Employee_587,Marketing,1012902,41079,27,New
588,Employee_588,HR,1969065,89225,41,New
589,Employee_589,Marketing,1256904,29259,41,Old
590,Employee_590,HR,337405,293715,48,New
591,Employee_591,HR,975807,56119,47,New
592,Employee_592,HR,321173,275153,53,New
593,Employee_593,Operations,246638,115210,31,Old
594,Employee_594,Finance,997700,328973,39,New
595,Employee_595,Marketing,1450251,305374,33,Old
596,Employee_596,Operations,1362496,116364,31,Old
597,Employee_597,Operations,610261,323193,45,New
598,Employee_598,Operations,1944677,368906,45,Old
599,Employee_599,Operations,1684562,390417,59,Old
600,Employee_600,Operations,207887,386610,46,Old
601,Employee_601,IT,953266,172570,29,Old
602,Employee_602,Marketing,1222658,124053,35,Old
603,Employee_603,Operations,1273494,427036,52,New
604,Employee_604,Marketing,1021929,438531,45,Old
605,Employee_605,IT,555706,362162,37,Old
606,Employee_606,IT,916369,299939,41,Old
607,Employee_607,Marketing,1522649,118812,59,Old
608,Employee_608,HR,1755084,90411,36,Old
609,Employee_609,Finance,1875065,306335,35,New
